Date,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
2019-01-01T00:00:00.000,0,9
2019-01-01T01:00:00.000,2,22
2019-01-01T02:00:00.000,1,11
2019-01-01T03:00:00.000,1,2
2019-01-01T04:00:00.000,2,1
2019-01-01T05:00:00.000,3,1
2019-01-01T06:00:00.000,4,7
2019-01-01T07:00:00.000,1,2
2019-01-01T08:00:00.000,8,9
2019-01-01T09:00:00.000,5,14
2019-01-01T10:00:00.000,37,24
2019-01-01T11:00:00.000,31,11
2019-01-01T12:00:00.000,31,29
2019-01-01T13:00:00.000,55,48
2019-01-01T14:00:00.000,61,52
2019-01-01T15:00:00.000,31,37
2019-01-01T16:00:00.000,30,28
2019-01-01T17:00:00.000,9,17
2015-11-15T02:00:00.000,0,0
2019-01-01T18:00:00.000,9,11
2019-01-01T19:00:00.000,8,7
2019-01-01T20:00:00.000,4,3
2019-01-01T21:00:00.000,1,3
2019-01-01T22:00:00.000,1,2
2019-01-01T23:00:00.000,0,2
2019-01-02T00:00:00.000,1,0
2017-06-03T03:00:00.000,0,0
2015-11-29T04:00:00.000,0,0
2019-01-02T01:00:00.000,0,0
2019-01-02T02:00:00.000,0,1
2017-01-09T01:00:00.000,0,0
2019-01-02T03:00:00.000,2,2
2019-01-02T04:00:00.000,5,2
2019-01-02T05:00:00.000,14,14
2019-01-02T06:00:00.000,52,42
2019-01-02T07:00:00.000,140,110
2017-01-01T05:00:00.000,0,0
2019-01-02T08:00:00.000,168,200
2019-01-02T09:00:00.000,72,102
2019-01-02T10:00:00.000,43,34
2019-01-02T11:00:00.000,22,29
2019-01-02T12:00:00.000,24,28
2019-01-02T13:00:00.000,22,23
2019-01-02T14:00:00.000,20,43
2019-01-02T15:00:00.000,42,61
2019-01-02T16:00:00.000,60,172
2019-01-02T17:00:00.000,97,346
2019-01-02T18:00:00.000,54,187
2019-01-02T19:00:00.000,32,53
2019-01-02T20:00:00.000,11,20
2019-01-02T21:00:00.000,5,18
2017-01-26T01:00:00.000,0,0
2019-01-02T22:00:00.000,5,9
2019-01-02T23:00:00.000,4,2
2019-01-03T00:00:00.000,1,0
2019-01-03T01:00:00.000,0,0
2019-01-03T02:00:00.000,0,1
2019-01-03T03:00:00.000,2,1
